lat, lon
42.3483, -83.001
42.3706, -82.9971
42.4023, -82.9296
42.3391, -83.0672
42.4316, -83.2503
42.4086, -83.0557
42.3763, -83.2172
42.3658, -83.0971
42.4069, -83.169
42.4008, -83.1714
42.4346, -83.0039
42.3965, -83.1253
42.363, -83.1056
42.4281, -82.9913
42.3835, -83.116
42.3605, -83.1798
42.3572, -83.1849
42.4176, -83.1577
42.3315, -83.0697
42.3603, -83.0548
42.4276, -83.1961
42.3977, -83.1749
42.3509, -83.0603
42.3818, -83.2108
42.4463, -83.0237
42.3852, -83.1763
42.38, -82.9968
42.337, -83.0529
42.4153, -82.9613
42.3479, -83.1015
42.3311, -83.1248
42.3703, -83.2064
42.3892, -83.2274
42.386, -83.1249
42.4097, -83.1496
42.3313, -83.0485
42.3902, -83.0952
42.3674, -83.1651
42.4273, -83.0043
42.4144, -83.2521
42.3861, -83.2068
42.4378, -83.2275
42.3882, -83.214
42.4315, -83.2818
42.43, -83.2229
42.3514, -83.1859
42.4285, -83.1001
42.3498, -83.0282
42.4067, -82.9575
42.4019, -83.1393
42.4054, -83.213
42.4381, -83.0773
42.4271, -82.9352
42.3402, -83.1096
42.3823, -83.1732
42.3959, -83.1932
42.393, -83.1221
42.3391, -83.2014
42.3325, -83.1351
42.3695, -82.9855
42.3453, -83.116
42.4085, -83.2325
42.4321, -83.1155
42.4239, -83.1712
42.3888, -83.0786
42.3324, -83.0676
42.3658, -83.1087
42.4293, -83.1993
42.4192, -83.2543
42.4304, -83.1577
42.336, -83.1164
42.402, -83.1671
42.4156, -83.2122
42.3006, -83.1145
42.4116, -82.998
42.4197, -83.2333
42.4169, -82.9274
42.3828, -82.9524
42.4103, -82.9969
42.3882, -82.9558
42.3538, -83.0231
42.3434, -83.1998
42.3784, -83.0826
42.3438, -83.072
42.4367, -83.0274
42.4436, -83.2329
42.3964, -83.1519
42.4367, -83.0495
42.3987, -82.9704
42.3627, -83.2283
42.3412, -83.0607
42.4144, -82.9546
42.4309, -83.0047
